기간	자치구	동	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2014	은평구	갈현1동	902	49	-	52	726	75	-	-	715	28	-	46	573	68	-	-
2014	은평구	갈현2동	879	-	-	-	747	93	39	-	746	-	-	-	644	76	26	-
2014	은평구	구산동	1,036	71	-	20	812	133	-	-	851	71	-	16	653	111	-	-
2014	은평구	대조동	1,000	-	131	40	756	73	-	-	914	-	120	35	698	61	-	-
2014	은평구	응암1동	1,259	110	-	20	1,090	39	-	-	1,062	96	-	19	922	25	-	-
2014	은평구	응암2동	777	137	-	-	463	177	-	-	663	128	-	-	382	153	-	-
2014	은평구	신사1동	1,096	49	-	20	931	96	-	-	852	46	-	20	719	67	-	-
2014	은평구	신사2동	684	46	-	-	561	77	-	-	550	44	-	-	453	53	-	-
2014	은평구	증산동	617	79	-	-	238	300	-	-	481	78	-	-	168	235	-	-
2014	은평구	수색동	313	153	-	20	39	101	-	-	283	145	-	17	37	84	-	-
2014	은평구	진관동	1,806	184	-	-	1,209	413	-	-	1,484	176	-	-	978	330	-	-
2014	은평구	불광2동	748	163	-	-	507	78	-	-	604	156	-	-	379	69	-	-
2014	은평구	응암3동	837	84	-	40	713	-	-	-	750	83	-	16	651	-	-	-
2014	은평구	역촌동	1,708	285	-	40	1,217	166	-	-	1,561	279	-	36	1,113	133	-	-
2014	서대문구	소계	7,958	2,308	-	156	3,799	1,181	20	494	6,799	2,073	-	141	3,155	1,039	16	375
2014	서대문구	천연동	647	86	-	-	493	68	-	-	489	85	-	-	359	45	-	-
2014	서대문구	홍제1동	583	275	-	-	204	104	-	-	514	221	-	-	195	98	-	-
2014	서대문구	홍제3동	641	206	-	-	338	97	-	-	571	194	-	-	294	83	-	-
2014	서대문구	홍제2동	463	104	-	74	208	77	-	-	405	75	-	67	198	65	-	-
2014	서대문구	홍은1동	493	140	-	-	223	130	-	-	450	138	-	-	194	118	-	-
2014	서대문구	홍은2동	587	85	-	-	432	70	-	-	476	85	-	-	324	67	-	-
2014	서대문구	남가좌1동	183	132	-	-	32	19	-	-	177	131	-	-	32	14	-	-
2014	서대문구	남가좌2동	728	120	-	-	356	252	-	-	636	113	-	-	306	217	-	-
2014	서대문구	북가좌1동	461	330	-	-	-	131	-	-	444	313	-	-	-	131	-	-
2014	서대문구	북가좌2동	821	129	-	-	551	141	-	-	730	124	-	-	482	124	-	-
2014	서대문구	충현동	684	102	-	30	442	20	-	90	526	62	-	25	354	11	-	74
2014	서대문구	북아현동	433	201	-	-	194	38	-	-	318	168	-	-	117	33	-	-
2014	서대문구	신촌동	495	88	-	52	-	-	-	355	373	71	-	49	-	-	-	253
2014	서대문구	연희동	739	310	-	-	326	34	20	49	690	293	-	-	300	33	16	48
2014	마포구	소계	9,988	3,405	-	604	3,423	1,951	153	452	8,583	2,940	-	436	3,009	1,725	139	334
2014	마포구	용강동	347	125	-	49	76	97	-	-	280	71	-	45	69	95	-	-
2014	마포구	대흥동	248	217	-	-	-	31	-	-	189	166	-	-	-	23	-	-
2014	마포구	염리동	467	163	-	139	100	20	-	45	343	121	-	82	86	18	-	36
2014	마포구	신수동	521	250	-	40	135	96	-	-	437	194	-	36	133	74	-	-
2014	마포구	서교동	424	249	-	60	63	52	-	-	321	226	-	33	16	46	-	-
2014	마포구	합정동	377	79	-	-	136	124	38	-	324	67	-	-	130	93	34	-
2014	마포구	망원1동	590	87	-	20	296	187	-	-	545	81	-	-	286	178	-	-
2014	마포구	망원2동	674	106	-	-	423	145	-	-	613	102	-	-	367	144	-	-
2014	마포구	연남동	534	75	-	-	360	99	-	-	468	71	-	-	316	81	-	-
2014	마포구	성산1동	387	49	-	-	209	53	76	-	352	46	-	-	186	50	70	-
2014	마포구	성산2동	1,476	321	-	40	635	333	39	108	1,266	303	-	38	466	318	35	106
2014	마포구	상암동	1,382	356	-	148	408	246	-	224	1,199	324	-	122	386	216	-	151
2014	마포구	도화동	420	252	-	-	-	168	-	-	408	243	-	-	-	165	-	-
2014	마포구	서강동	721	335	-	69	225	62	-	30	651	294	-	58	218	55	-	26
2014	마포구	공덕동	683	348	-	-	141	149	-	45	577	299	-	-	135	128	-	15
2014	마포구	아현동	737	393	-	39	216	89	-	-	610	332	-	22	215	41	-	-
2014	양천구	소계	13,796	3,495	-	222	6,194	3,628	16	241	12,049	2,974	-	166	5,421	3,286	16	186
2014	양천구	목1동	402	134	-	40	49	134	-	45	354	118	-	17	48	130	-	41
2014	양천구	목2동	890	198	-	40	429	189	-	34	767	175	-	19	365	177	-	31
2014	양천구	목3동	599	161	-	39	321	78	-	-	438	67	-	33	261	77	-	-
2014	양천구	목4동	775	160	-	-	459	156	-	-	634	132	-	-	362	140	-	-
2014	양천구	신월1동	1,138	203	-	83	700	152	-	-	965	179	-	77	583	126	-	-
2014	양천구	신월2동	884	180	-	-	353	351	-	-	808	175	-	-	302	331	-	-
2014	양천구	신월3동	515	79	-	-	319	117	-	-	440	73	-	-	260	107	-	-
2014	양천구	신월4동	916	200	-	-	460	256	-	-	849	191	-	-	422	236	-	-
2014	양천구	신월5동	596	189	-	-	224	167	16	-	490	167	-	-	175	132	16	-
2014	양천구	신월6동	492	79	-	-	342	71	-	-	392	55	-	-	278	59	-	-
2014	양천구	신월7동	946	104	-	-	711	131	-	-	877	102	-	-	668	107	-	-
2014	양천구	신정1동	365	141	-	-	119	105	-	-	352	140	-	-	113	99	-	-
2014	양천구	신정2동	431	164	-	-	121	146	-	-	327	76	-	-	120	131	-	-
2014	양천구	신정3동	1,761	519	-	-	508	734	-	-	1,568	454	-	-	463	651	-	-
2014	양천구	신정6동	492	-	-	-	206	173	-	113	419	-	-	-	176	161	-	82
2014	양천구	신정7동	811	469	-	-	74	268	-	-	743	422	-	-	72	249	-	-
2014	양천구	목5동	648	173	-	-	167	259	-	49	578	156	-	-	155	235	-	32
2014	양천구	신정4동	1,135	342	-	20	632	141	-	-	1,048	292	-	20	598	138	-	-
2014	강서구	소계	17,387	3,585	344	170	8,880	4,214	34	160	15,441	2,948	337	167	7,960	3,886	29	114
2014	강서구	염창동	1,278	164	52	-	676	386	-	-	1,157	158	50	-	591	358	-	-
2014	강서구	등촌1동	379	84	-	-	140	155	-	-	366	78	-	-	134	154	-	-
2014	강서구	등촌2동	420	72	-	-	250	98	-	-	368	70	-	-	213	85	-	-
2014	강서구	등촌3동	1,093	451	-	-	497	145	-	-	961	358	-	-	459	144	-	-
2014	강서구	화곡본동	1,395	153	-	59	975	208	-	-	1,205	147	-	57	838	163	-	-
2014	강서구	화곡2동	789	141	-	60	487	101	-	-	735	133	-	59	457	86	-	-
2014	강서구	화곡3동	762	111	-	-	406	146	-	99	626	97	-	-	330	143	-	56
2014	강서구	화곡4동	855	79	-	-	724	52	-	-	766	73	-	-	646	47	-	-
2014	강서구	화곡6동	810	120	-	-	527	102	-	61	738	101	-	-	491	88	-	58
2014	강서구	화곡8동	856	114	-	-	400	308	34	-	787	109	-	-	359	290	29	-
2014	강서구	가양1동	480	121	-	-	135	224	-	-	384	83	-	-	94	207	-	-
2014	강서구	가양2동	404	246	20	-	96	42	-	-	341	193	20	-	86	42	-	-
2014	강서구	가양3동	389	79	-	-	144	166	-	-	371	68	-	-	144	159	-	-
2014	강서구	발산1동	1,327	284	99	-	491	453	-	-	1,182	180	95	-	467	440	-	-
2014	강서구	공항동	675	171	173	-	174	157	-	-	624	148	172	-	159	145	-	-
2014	강서구	방화1동	1,500	533	-	-	526	441	-	-	1,193	324	-	-	486	383	-	-
2014	강서구	방화2동	710	116	-	51	389	154	-	-	684	114	-	51	374	145	-	-
2014	강서구	방화3동	805	152	-	-	493	160	-	-	758	138	-	-	469	151	-	-
2014	강서구	화곡1동	1,325	163	-	-	960	202	-	-	1,139	152	-	-	800	187	-	-
2014	강서구	우장산동	1,135	231	-	-	390	514	-	-	1,056	224	-	-	363	469	-	-
2014	구로구	소계	14,118	3,191	311	567	6,157	3,406	117	369	12,899	2,806	293	501	5,620	3,239	117	323
