기간	자치구	동	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2019	마포구	연남동	350	75	-	-	236	39	-	-	273	61	-	-	173	39	-	-
2019	마포구	성산1동	213	49	-	-	49	39	76	-	208	49	-	-	47	38	74	-
2019	마포구	성산2동	1,229	360	-	40	446	236	39	108	1,079	330	-	36	364	222	36	91
2019	마포구	상암동	1,295	524	-	29	232	58	-	452	1,147	501	-	29	224	58	-	335
2019	마포구	도화동	461	252	-	-	-	134	-	75	411	241	-	-	-	124	-	46
2019	마포구	서강동	723	414	-	49	240	20	-	-	640	339	-	43	238	20	-	-
2019	마포구	공덕동	736	430	-	-	196	110	-	-	626	354	-	-	186	86	-	-
2019	마포구	아현동	890	458	-	-	216	97	-	119	761	400	-	-	202	91	-	68
2019	양천구	소계	11,908	4,733	-	63	4,144	2,620	16	332	9,966	4,063	-	59	3,378	2,182	16	268
2019	양천구	목1동	356	149	-	-	49	113	-	45	308	133	-	-	39	110	-	26
2019	양천구	목2동	814	275	-	-	356	183	-	-	686	236	-	-	297	153	-	-
2019	양천구	목3동	566	237	-	43	188	98	-	-	507	210	-	40	178	79	-	-
2019	양천구	목4동	512	218	-	-	222	72	-	-	402	180	-	-	153	69	-	-
2019	양천구	신월1동	804	213	-	-	467	124	-	-	702	185	-	-	415	102	-	-
2019	양천구	신월2동	878	229	-	-	309	340	-	-	728	202	-	-	258	268	-	-
2019	양천구	신월3동	556	231	-	-	183	85	-	57	426	193	-	-	115	61	-	57
2019	양천구	신월4동	676	220	-	-	236	220	-	-	575	204	-	-	189	182	-	-
2019	양천구	신월5동	508	224	-	-	159	93	16	16	434	205	-	-	132	70	16	11
2019	양천구	신월6동	311	58	-	-	202	51	-	-	260	44	-	-	180	36	-	-
2019	양천구	신월7동	747	170	-	-	498	79	-	-	585	153	-	-	372	60	-	-
2019	양천구	신정1동	298	175	-	-	31	92	-	-	285	169	-	-	27	89	-	-
2019	양천구	신정2동	364	164	-	-	72	128	-	-	332	159	-	-	63	110	-	-
2019	양천구	신정3동	1,436	854	-	-	217	365	-	-	1,104	670	-	-	164	270	-	-
2019	양천구	신정6동	436	69	-	-	206	97	-	64	395	66	-	-	189	88	-	52
2019	양천구	신정7동	752	535	-	-	-	181	-	36	621	428	-	-	-	163	-	30
2019	양천구	목5동	697	268	-	-	167	213	-	49	646	248	-	-	158	196	-	44
2019	양천구	신정4동	1,197	444	-	20	582	86	-	65	970	378	-	19	449	76	-	48
2019	강서구	소계	17,195	4,739	272	233	7,595	3,256	148	952	14,775	4,196	248	203	6,427	2,827	114	760
2019	강서구	염창동	1,404	336	-	-	659	290	-	119	1,196	290	-	-	556	276	-	74
2019	강서구	등촌1동	524	144	-	-	124	108	-	148	496	130	-	-	122	103	-	141
2019	강서구	등촌2동	408	92	-	-	214	58	44	-	347	68	-	-	205	55	19	-
2019	강서구	등촌3동	831	528	-	-	147	107	49	-	674	422	-	-	98	106	48	-
2019	강서구	화곡본동	1,393	153	-	59	1,008	138	35	-	1,186	146	-	54	854	100	32	-
2019	강서구	화곡2동	664	273	-	60	265	66	-	-	589	235	-	56	239	59	-	-
2019	강서구	화곡3동	541	130	-	114	189	108	-	-	465	97	-	93	171	104	-	-
2019	강서구	화곡4동	751	79	-	-	601	71	-	-	601	72	-	-	472	57	-	-
2019	강서구	화곡6동	769	120	-	-	526	74	-	49	584	93	-	-	435	17	-	39
2019	강서구	화곡8동	680	181	-	-	346	153	-	-	554	161	-	-	280	113	-	-
