기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수
기간	자치구	동	계	국공립	법인	민간	민간	민간	부모협동	직장	가정	계	국공립	법인	민간	민간	민간	부모협동	직장	가정
기간	자치구	동	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정
2011	은평구	응암1동	1,006	-	-	969	949	20	-	-	37	970	-	-	933	913	20	-	-	37
2011	은평구	응암2동	347	49	-	283	283	-	-	-	15	294	46	-	237	237	-	-	-	11
2011	은평구	신사1동	727	-	-	670	650	20	-	-	57	660	-	-	624	604	20	-	-	36
2011	은평구	신사2동	534	46	-	441	441	-	-	-	47	489	46	-	402	402	-	-	-	41
2011	은평구	증산동	538	79	-	217	217	-	-	-	242	434	79	-	183	183	-	-	-	172
2011	은평구	수색동	252	153	-	59	39	20	-	-	40	246	151	-	55	39	16	-	-	40
2011	은평구	진관동	1,488	144	-	1,096	1,096	-	-	-	248	1,312	137	-	967	967	-	-	-	208
2011	은평구	불광2동	645	163	-	388	388	-	-	-	94	568	163	-	317	317	-	-	-	88
2011	은평구	응암3동	948	84	-	864	824	40	-	-	-	881	84	-	797	762	35	-	-	-
2011	은평구	역촌동	1,579	160	-	1,239	1,199	40	-	-	180	1,416	160	-	1,106	1,067	39	-	-	150
2011	서대문구	소계	7,538	1,735	-	4,302	4,146	156	-	446	1,055	6,364	1,636	-	3,494	3,373	121	-	350	884
2011	서대문구	천연동	560	86	-	423	423	-	-	-	51	419	84	-	296	296	-	-	-	39
2011	서대문구	홍제1동	611	189	-	318	318	-	-	-	104	562	174	-	295	295	-	-	-	93
2011	서대문구	홍제3동	565	127	-	387	387	-	-	-	51	506	122	-	335	335	-	-	-	49
2011	서대문구	홍제2동	373	-	-	295	221	74	-	-	78	304	-	-	234	185	49	-	-	70
2011	서대문구	홍은1동	504	140	-	223	223	-	-	-	141	449	131	-	207	207	-	-	-	111
2011	서대문구	홍은2동	562	85	-	395	395	-	-	-	82	478	83	-	317	317	-	-	-	78
2011	서대문구	남가좌1동	183	132	-	32	32	-	-	-	19	171	128	-	29	29	-	-	-	14
2011	서대문구	남가좌2동	774	120	-	421	421	-	-	-	233	627	109	-	347	347	-	-	-	171
2011	서대문구	북가좌1동	170	88	-	49	49	-	-	-	33	160	86	-	45	45	-	-	-	29
2011	서대문구	북가좌2동	772	129	-	489	489	-	-	-	154	675	125	-	421	421	-	-	-	129
